专题ID,小类ID,监测因子名称,化学名称,单位,最小值,最大值,最小超标值,最大超标值
1,2,二氧化硫,SO<sub>2</sub>,μg/m<sup>3</sup>,0,2620,0,2620
1,2,二氧化氮,NO<sub>2</sub>,μg/m<sup>3</sup>,0,940,0,940
1,2,一氧化碳,CO,μg/m<sup>3</sup>,0,60,0,60
1,4,颗粒物粒径小于等于10,PM10,μg/m<sup>3</sup>,0,600,0,600
1,4,颗粒物粒径小于等于2.5,PM2.5,μg/m<sup>3</sup>,0,500,0,500
2,1,总汞,Hg,mg/l,0,0.05,0,0.05
2,1,烷基汞,,mg/l,0,0,0,0
2,1,总镉,Cd,mg/l,0,0.1,0,0.1
2,1,总铬,Cr,mg/l,0,1.5,0,1.5
2,1,六价铬,Cr6,mg/l,0,0.5,0,0.5
2,1,总砷,As,mg/l,0,0.5,0,0.5
2,1,总铅,Pb,mg/l,0,1.0,0,1.0
2,1,总镍,Ni,mg/l,0,1.0,0,1.0
2,1,总铍,Be,mg/l,0,0.005,0,0.005
2,1,总银,Ag,mg/l,0,0.5,0,0.5
2,1,苯并芘,C20H12,mg/l,0,0.00003,0,0.00003
2,2,二氧化硫,SO<sub>2</sub>,μg/m<sup>3</sup>,0,2620,0,2620
2,2,二氧化氮,NO<sub>2</sub>,μg/m<sup>3</sup>,0,940,0,940
2,2,一氧化碳,CO,μg/m<sup>3</sup>,0,60,0,60
2,2,颗粒物粒径小于等于10,PM10,μg/m<sup>3</sup>,0,600,0,600
2,2,颗粒物粒径小于等于2.5,PM2.5,μg/m<sup>3</sup>,0,500,0,500
2,2,氟化氢,HF,mg/m<sup>3</sup>,0,150,0,150
2,2,铬酸雾,,mg/m<sup>3</sup>,0,0.08,0,0.08
2,2,硫酸雾,,mg/m<sup>3</sup>,0,70,0,70
2,2,铅及其化合物,,mg/m<sup>3</sup>,0,0.9,0,0.9
2,2,汞及其化合物,,mg/m<sup>3</sup>,0,0.015,0,0.015
2,2,镉及其化合物,,mg/m<sup>3</sup>,0,1,0,1
2,2,铍及其化合物,,mg/m<sup>3</sup>,0,0.015,0,0.015
2,2,镍及其化合物,,mg/m<sup>3</sup>,0,5,0,0.5
2,2,锡及其化合物,,mg/m<sup>3</sup>,0,10,0,10
2,2,苯,C<sub>6</sub>H<sub>6</sub>,mg/m<sup>3</sup>,0,17,0,17
