title,address,longitude,latitude,coord_type,,envclass,envfunc,cperson,emobile,envtype
东风圩,,117.008622,30.529449,3,,其它,III类,大观环保,15862785307,水环境
东风圩闸口,,117.00674,30.527116,3,,其它,III类,大观环保,15862785307,水环境
渔场,,117.015072,30.523554,3,,其它,III类,大观环保,15862785307,水环境
渔场,,117.018499,30.525153,3,,其它,III类,大观环保,15862785307,水环境
鬼颈子闸,,117.019972,30.525059,3,,其它,III类,大观环保,15862785307,水环境
人工渔场,,117.021926,30.523644,3,,其它,III类,大观环保,15862785307,水环境
人工渔场,,117.020744,30.522213,3,,其它,III类,大观环保,15862785307,水环境
河道,,117.017048,30.521314,3,,其它,III类,大观环保,15862785307,水环境
石门湖,,117.001417,30.523189,3,,其它,III类,大观环保,15862785307,水环境
石门湖,,116.986272,30.523438,3,,其它,III类,大观环保,15862785307,水环境
石门湖,,116.989811,30.533066,3,,其它,III类,大观环保,15862785307,水环境
石门湖,,116.979674,30.531203,3,,其它,III类,大观环保,15862785307,水环境
皖河口,,117.01314,30.500371,3,,其它,III类,大观环保,15862785307,水环境
皖河段,,117.017353,30.509399,3,,其它,III类,大观环保,15862785307,水环境
皖河段,,117.0108,30.514517,3,,其它,III类,大观环保,15862785307,水环境
皖河段,,117.000798,30.516387,3,,其它,III类,大观环保,15862785307,水环境
皖河段,,116.984938,30.515952,3,,其它,III类,大观环保,15862785307,水环境
皖河大桥,,117.006879,30.515769,3,,其它,III类,大观环保,15862785307,水环境
袁柏闸,,117.022402,30.517573,3,,其它,III类,大观环保,15862785307,水环境
基本农田保护区,,117.015058,30.517515,3,,其它,III类,大观环保,15862785307,水环境
安庆供水集团取水口,,117.046625,30.506062,3,,其它,III类,大观环保,15862785307,水环境
居民村,,117.023839,30.51391,3,,其它,III类,大观环保,15862785307,气环境
居民村,,117.028133,30.514909,3,,其它,III类,大观环保,15862785307,气环境
长江小学,,117.026098,30.516127,3,,其它,III类,大观环保,15862785307,气环境
安庆市第五中学,,117.033734,30.514575,3,,其它,III类,大观环保,15862785307,气环境
海口镇皖江小学,,116.998839,30.50962,3,,其它,III类,大观环保,15862785307,气环境
德宽路第一小学,,117.038189,30.515271,3,,其它,III类,大观环保,15862785307,气环境
安庆第一中学,,117.044168,30.51286,3,,其它,III类,大观环保,15862785307,气环境
安庆第四中学,,117.044689,30.511312,3,,其它,III类,大观环保,15862785307,气环境
第二人民医院,,117.043049,30.517134,3,,其它,III类,大观环保,15862785307,气环境
安庆石化医院,,117.048376,30.536639,3,,其它,III类,大观环保,15862785307,气环境
海军安庆医院,,117.051673,30.517538,3,,其它,III类,大观环保,15862785307,气环境
安庆第一人民医院,,117.056003,30.512665,3,,其它,III类,大观环保,15862785307,气环境
安庆市立医院,,117.05616,30.510441,3,,其它,III类,大观环保,15862785307,气环境
城西污水处理厂,,117.012094,30.52929,3,,其它,III类,大观环保,15862785307,气环境
安庆长虹化工有限公司,,117.005621,30.538007,3,,其它,III类,大观环保,15862785307,气环境
安庆市精益精化工有限公司,,117.015494,30.531864,3,,其它,III类,大观环保,15862785307,气环境
大观经济开发区管委会,,117.014254,30.534574,3,,其它,III类,大观环保,15862785307,气环境
危废处理单位(鑫祥瑞),,117.010113,30.540729,3,,其它,III类,大观环保,15862785307,气环境
安徽时联特种溶剂股份有限公司,,117.025627,30.53081,3,,其它,III类,大观环保,15862785307,气环境
大观区消防支队,,117.037493,30.517219,3,,其它,III类,大观环保,15862785307,气环境
大观区环境保护局,,117.041711,30.519494,3,,其它,III类,大观环保,15862785307,气环境
石化安庆环保监测中心,,117.042883,30.526218,3,,其它,III类,大观环保,15862785307,气环境
